player_name,nation,position,age,matches_played,starts,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,expected_goals,expected_assists,team_name
Benjamin Arthur,eng ENG,DF,19,0,0,,,,,,,,,Brentford
Myles Peart-Harris,eng ENG,MF,22,0,0,,,,,,,,,Brentford
Ethan Pinnock,jm JAM,DF,32,0,0,,,,,,,,,Brentford
Mads Roerslev,dk DEN,DF,26,0,0,,,,,,,,,Brentford
Hákon Valdimarsson,is ISL,GK,23,0,0,,,,,,,,,Brentford
Jarrod Bowen,eng ENG,FW,28,3,3,270,1,0,0,0,0,0.3,0.8,West-Ham-United
El Hadji Malick Diouf,sn SEN,DF,20,3,3,270,0,2,0,0,0,0.2,0.5,West-Ham-United
Mads Hermansen,dk DEN,GK,25,3,3,270,0,0,0,0,0,0.0,0.0,West-Ham-United
Max Kilman,eng ENG,DF,28,3,3,270,0,0,0,1,0,0.2,0.0,West-Ham-United
Lucas Paquetá,br BRA,MF,28,3,3,270,2,0,1,0,0,1.2,0.1,West-Ham-United
James Ward-Prowse,eng ENG,MF,30,3,3,234,0,0,0,0,0,0.1,0.5,West-Ham-United
Niclas Füllkrug,de GER,FW,32,3,3,198,0,0,0,0,0,0.3,0.2,West-Ham-United
Nayef Aguerd,ma MAR,DF,29,2,2,180,0,0,0,0,0,0.1,0.0,West-Ham-United
Aaron Wan-Bissaka,cd COD,DF,27,2,2,180,0,0,0,0,0,0.0,0.1,West-Ham-United
Tomáš Souček,cz CZE,MF,30,3,2,179,0,0,0,0,0,0.2,0.0,West-Ham-United
Jean-Clair Todibo,fr FRA,DF,25,2,2,126,0,0,0,0,0,0.0,0.0,West-Ham-United
Kyle Walker-Peters,eng ENG,DF,28,2,1,111,0,0,0,0,0,0.0,0.0,West-Ham-United
Konstantinos Mavropanos,gr GRE,DF,27,1,1,90,0,0,0,0,0,0.1,0.0,West-Ham-United
Mateus Fernandes,pt POR,FW,21,1,1,81,0,0,0,0,0,0.0,0.2,West-Ham-United
Guido Rodríguez,ar ARG,MF,31,1,1,70,0,0,0,0,0,0.0,0.0,West-Ham-United
Callum Wilson,eng ENG,FW,33,3,0,92,1,0,0,0,0,1.1,0.0,West-Ham-United
Freddie Potts,eng ENG,MF,21,1,0,45,0,0,0,0,0,0.0,0.0,West-Ham-United
Andy Irving,sct SCO,MF,25,2,0,25,0,0,0,0,0,0.0,0.0,West-Ham-United
Crysencio Summerville,nl NED,FW,23,1,0,9,0,1,0,0,0,0.0,0.1,West-Ham-United
Edson Álvarez,mx MEX,DF,27,0,0,,,,,,,,,West-Ham-United
Alphonse Areola,fr FRA,GK,32,0,0,,,,,,,,,West-Ham-United
Callum Marshall,nir NIR,FW,20,0,0,,,,,,,,,West-Ham-United
Oliver Scarles,eng ENG,MF,19,0,0,,,,,,,,,West-Ham-United
Dan Burn,eng ENG,DF,33,3,3,270,0,0,0,1,0,0.0,0.0,Newcastle-United
Bruno Guimarães,br BRA,MF,27,3,3,270,1,0,0,1,0,0.2,0.0,Newcastle-United
Valentino Livramento,eng ENG,DF,22,3,3,270,0,1,0,0,0,0.0,0.2,Newcastle-United
Nick Pope,eng ENG,GK,33,3,3,270,0,0,0,1,0,0.0,0.0,Newcastle-United
Fabian Schär,ch SUI,DF,33,3,3,260,0,0,0,0,0,0.1,0.0,Newcastle-United
Sandro Tonali,it ITA,MF,25,3,3,245,0,0,0,0,0,0.1,0.6,Newcastle-United
Kieran Trippier,eng ENG,DF,34,3,3,225,0,0,0,0,0,0.0,0.1,Newcastle-United
Anthony Elanga,se SWE,FW,23,3,2,196,0,0,0,0,0,0.6,0.3,Newcastle-United
Harvey Barnes,eng ENG,FW,27,3,2,187,0,0,0,0,0,0.3,0.7,Newcastle-United
Joelinton,br BRA,MF,29,2,2,157,0,0,0,1,0,0.0,0.0,Newcastle-United
Anthony Gordon,eng ENG,FW,24,2,2,134,0,0,0,0,1,1.1,0.1,Newcastle-United
William Osula,dk DEN,FW,22,3,1,106,1,0,0,0,0,0.4,0.0,Newcastle-United
Jacob Murphy,eng ENG,FW,30,2,1,74,0,0,0,0,0,0.1,0.0,Newcastle-United
Sven Botman,nl NED,DF,25,1,1,67,0,0,0,0,0,0.0,0.0,Newcastle-United
Jacob Ramsey,eng ENG,MF,24,2,1,60,0,0,0,0,0,0.0,0.3,Newcastle-United
Lewis Miley,eng ENG,MF,19,3,0,78,0,0,0,0,0,0.0,0.0,Newcastle-United
Lewis Hall,eng ENG,DF,20,2,0,45,0,0,0,0,0,0.0,0.0,Newcastle-United
Malick Thiaw,de GER,DF,24,1,0,10,0,0,0,0,0,0.0,0.0,Newcastle-United
Emil Krafth,se SWE,DF,31,0,0,,,,,,,,,Newcastle-United
Jamaal Lascelles,eng ENG,DF,31,0,0,,,,,,,,,Newcastle-United
Aaron Ramsdale,eng ENG,GK,27,0,0,,,,,,,,,Newcastle-United
Park Seungsoo,kr KOR,MF,18,0,0,,,,,,,,,Newcastle-United
Joe Willock,eng ENG,MF,26,0,0,,,,,,,,,Newcastle-United
Joachim Andersen,dk DEN,DF,29,3,3,270,0,0,0,0,0,0.2,0.7,Fulham
Calvin Bassey,ng NGA,DF,25,3,3,270,0,0,0,1,0,0.2,0.0,Fulham
Bernd Leno,de GER,GK,33,3,3,270,0,0,0,0,0,0.0,0.0,Fulham
Saša Lukić,rs SRB,MF,29,3,3,270,0,0,0,2,0,0.0,0.6,Fulham
Kenny Tete,nl NED,DF,29,3,3,270,0,0,0,0,0,0.1,0.1,Fulham
Sander Berge,no NOR,MF,27,3,3,245,0,0,0,0,0,0.4,0.0,Fulham
Alex Iwobi,ng NGA,FW,29,3,3,238,0,1,0,1,0,0.1,1.0,Fulham
Joshua King,eng ENG,MF,18,3,3,212,0,0,0,0,0,0.4,0.1,Fulham
Rodrigo Muniz,br BRA,FW,24,3,2,153,1,0,0,1,0,0.6,0.1,Fulham
Timothy Castagne,be BEL,FW,29,3,2,127,0,0,0,0,0,0.4,0.1,Fulham
Ryan Sessegnon,eng ENG,DF,25,2,2,127,0,0,0,0,0,0.0,0.2,Fulham
Harry Wilson,wls WAL,FW,28,3,1,150,0,0,0,0,0,0.1,0.0,Fulham
Raúl Jiménez,mx MEX,FW,34,3,1,117,0,0,0,0,0,0.4,0.0,Fulham
Jorge Cuenca,es ESP,DF,25,1,1,83,0,0,0,0,0,0.0,0.0,Fulham
Emile Smith Rowe,eng ENG,MF,25,3,0,58,1,0,0,0,0,0.8,0.0,Fulham
Antonee Robinson,us USA,DF,28,2,0,53,0,0,0,0,0,0.0,0.0,Fulham
Adama Traoré,es ESP,FW,29,2,0,32,0,0,0,0,0,0.0,0.1,Fulham
Tom Cairney,sct SCO,MF,34,1,0,25,0,0,0,1,0,0.0,0.0,Fulham
Issa Diop,fr FRA,DF,28,0,0,,,,,,,,,Fulham
Benjamin Lecomte,fr FRA,GK,34,0,0,,,,,,,,,Fulham
Andreas Pereira,br BRA,MF,29,0,0,,,,,,,,,Fulham
Harrison Reed,eng ENG,MF,30,0,0,,,,,,,,,Fulham
Tyrone Mings,eng ENG,DF,32,3,3,270,0,0,0,0,0,0.1,0.1,Aston-Villa
Morgan Rogers,eng ENG,FW,23,3,3,270,0,0,0,0,0,0.1,0.3,Aston-Villa
Youri Tielemans,be BEL,MF,28,3,3,270,0,0,0,0,0,0.1,0.2,Aston-Villa
Ollie Watkins,eng ENG,FW,29,3,3,270,0,0,0,0,0,1.1,0.3,Aston-Villa
Matty Cash,pl POL,DF,28,3,3,253,0,0,0,1,0,0.0,0.2,Aston-Villa
John McGinn,sct SCO,FW,30,3,3,229,0,0,0,0,0,0.0,0.7,Aston-Villa
Marco Bizot,nl NED,GK,34,2,2,180,0,0,0,1,0,0.0,0.0,Aston-Villa
Lucas Digne,fr FRA,DF,32,3,2,161,0,0,0,0,0,0.0,0.0,Aston-Villa
Ezri Konsa,eng ENG,DF,27,2,2,155,0,0,0,0,1,0.0,0.0,Aston-Villa
Amadou Onana,be BEL,MF,24,2,2,153,0,0,0,1,0,0.2,0.0,Aston-Villa
Boubacar Kamara,fr FRA,MF,25,2,2,105,0,0,0,1,0,0.1,0.0,Aston-Villa
Donyell Malen,nl NED,FW,26,3,1,116,0,0,0,0,0,0.2,0.0,Aston-Villa
Ian Maatsen,nl NED,DF,23,2,1,110,0,0,0,0,0,0.1,0.2,Aston-Villa
Pau Torres,es ESP,DF,28,2,1,107,0,0,0,0,0,0.1,0.0,Aston-Villa
Emiliano Martínez,ar ARG,GK,33,1,1,90,0,0,0,0,0,0.0,0.0,Aston-Villa
Evann Guessand,ci CIV,FW,24,2,1,61,0,0,0,0,0,0.1,0.0,Aston-Villa
Emi Buendía,ar ARG,MF,28,2,0,104,0,0,0,0,0,0.2,0.2,Aston-Villa
Lamare Bogarde,nl NED,MF,21,2,0,24,0,0,0,1,0,0.0,0.0,Aston-Villa
Bradley Paul Burrowes,eng ENG,DF,17,1,0,17,0,0,0,0,0,0.0,0.0,Aston-Villa
Samuel Iling-Junior,eng ENG,DF,21,0,0,,,,,,,,,Aston-Villa
Jamaldeen Jimoh,eng ENG,MF,18,0,0,,,,,,,,,Aston-Villa
Travis Patterson,eng ENG,DF,19,0,0,,,,,,,,,Aston-Villa
Sam Proctor,eng ENG,GK,18,0,0,,,,,,,,,Aston-Villa
Triston Rowe,eng ENG,DF,19,0,0,,,,,,,,,Aston-Villa
James Wright,eng ENG,GK,20,0,0,,,,,,,,,Aston-Villa
Emmanuel Agbadou,ci CIV,DF,28,3,3,270,0,0,0,0,0,0.2,0.0,Wolverhampton-Wanderers
João Gomes,br BRA,MF,24,3,3,270,0,0,0,1,0,0.0,0.0,Wolverhampton-Wanderers
Marshall Munetsi,zw ZIM,FW,29,3,3,270,0,1,0,0,0,0.1,0.4,Wolverhampton-Wanderers
José Sá,pt POR,GK,32,3,3,270,0,0,0,0,0,0.0,0.1,Wolverhampton-Wanderers
Toti Gomes,pt POR,DF,26,3,3,228,0,0,0,1,1,0.0,0.0,Wolverhampton-Wanderers
Matt Doherty,ie IRL,DF,33,2,2,180,0,0,0,2,0,0.0,0.0,Wolverhampton-Wanderers
André,br BRA,MF,24,3,2,179,0,0,0,0,0,0.0,0.0,Wolverhampton-Wanderers
Jørgen Strand Larsen,no NOR,FW,25,2,2,158,0,0,0,0,0,0.5,0.0,Wolverhampton-Wanderers
Jean-Ricner Bellegarde,ht HAI,FW,27,3,2,144,0,0,0,0,0,0.1,0.1,Wolverhampton-Wanderers
Jhon Arias,co COL,FW,27,3,2,136,0,0,0,0,0,0.2,0.1,Wolverhampton-Wanderers
David Møller Wolfe,no NOR,MF,23,3,2,132,0,1,0,0,0,0.0,0.3,Wolverhampton-Wanderers
Ki-Jana Hoever,nl NED,MF,23,2,2,106,0,0,0,0,0,0.0,0.2,Wolverhampton-Wanderers
Hugo Bueno,es ESP,MF,22,3,1,138,0,0,0,1,0,0.1,0.2,Wolverhampton-Wanderers
Santiago Bueno,uy URU,DF,26,2,1,125,0,0,0,0,0,0.0,0.0,Wolverhampton-Wanderers
Jackson Tchatchoua,cm CMR,MF,23,2,1,118,0,0,0,0,0,0.0,0.0,Wolverhampton-Wanderers
Hwang Hee-chan,kr KOR,FW,29,3,1,97,1,0,0,0,0,0.4,0.0,Wolverhampton-Wanderers
Fer López,es ESP,MF,21,2,0,47,0,0,0,0,0,0.1,0.0,Wolverhampton-Wanderers
Rodrigo Gomes,pt POR,MF,22,2,0,45,1,0,0,0,0,0.4,0.0,Wolverhampton-Wanderers
Sasa Kalajdzic,at AUT,FW,28,1,0,15,0,0,0,0,0,0.0,0.0,Wolverhampton-Wanderers
Sam Johnstone,eng ENG,GK,32,0,0,,,,,,,,,Wolverhampton-Wanderers
Ladislav Krejčí,cz CZE,DF,26,0,0,,,,,,,,,Wolverhampton-Wanderers
Yerson Mosquera,co COL,DF,24,0,0,,,,,,,,,Wolverhampton-Wanderers
